date,headline,snippet,link
19870901,"Montana Governor to Retire","LEAD: Gov. Ted Schwinden said today that he would not seek a third term in 1988, saying he and his wife, Jean, planned to ''put our family first.'' Mr. Schwinder, a Democrat, has has spent 27 years in public office since he was first elected to the...","http://www.nytimes.com/1987/09/01/us/montana-governor-to-retire.html"
19871001,"Postal Service Losses in 1987 Put at $200 Million","LEAD: The Postal Service finished the fiscal year 1987 with a loss of more than $200 million, emphasizing the need for the higher rates expected to take effect next spring, Postmaster General Preston R. Tisch said today.","http://www.nytimes.com/1987/10/01/us/postal-service-losses-in-1987-put-at-200-million.html"
19871101,"Babbitt in Car Accident, but Not Seriously Injured","LEAD: Former Gov. Bruce Babbitt, a Democratic Presidential candidate, and his son were involved in an automobile collision Saturday, but were not seriously injured.","http://www.nytimes.com/1987/11/02/us/babbitt-in-car-accident-but-not-seriously-injured.html"
19871201,"Mother Sentenced in Death","LEAD: A mother convicted of criminal negligence after her 11-month-old son drowned in a mop bucket has been ordered to attend classes on how to rear children as part of her probation. The baby, Justin Hoffman, drowned in a 5-gallon bucket after his...","http://www.nytimes.com/1987/12/02/us/mother-sentenced-in-death.html"
19880101,"Child Abuse Cases Draw New Attention","LEAD: The swollen eyes of a 3-year-old boy, bruised and battered repeatedly by his father despite intervention from state social workers, stare out from a snapshot that continues to haunt people in the Pacific Northwest.","http://www.nytimes.com/1988/01/01/us/child-abuse-cases-draw-new-attention.html"
19880201,"Candidates to Old and Young: You've Got a Friend","LEAD: Leon Wieseltier, an adviser to Senator Albert Gore Jr., likes to tell the joke about why grandparents and grandchildren like each other so much.","http://www.nytimes.com/1988/02/02/us/politics-candidates-to-old-and-young-you-ve-got-a-friend.html"
19880301,"Tribes Seek Settlement For Land Lost to a Dam","LEAD: The fertile bottom lands of the Missouri River where the Arikara, Hidatsa and Mandan Indians thrived for seven centuries are gone forever, buried beneath the waters of Lake Sakakawea.","http://www.nytimes.com/1988/03/01/us/tribes-seek-settlement-for-land-lost-to-a-dam.html"
19880401,"Assault of a Woman Prompts Charges Against 11 in Texas","LEAD: Eleven men were charged after a 19-year-old woman told the police she was raped repeatedly by a group of men who urged onlookers to join in, the authorities said Thursday.","http://www.nytimes.com/1988/04/02/us/assault-of-a-woman-prompts-charges-against-11-in-texas.html"
19880501,"4 Washington City Aides Quit","LEAD: The director of the District of Columbia's Department of Human Services and three aides have resigned after reports surfaced that the three used city funds to pay their rent and food bills, officials said today.","http://www.nytimes.com/1988/05/01/us/4-washington-city-aides-quit.html"
19880601,"Education; Fourth Graders Writing Biography And Opening a Door to History","LEAD: In an unusual approach to learning history and writing, the children in Milly Sturman's fourth-grade class are spending the entire year writing biographies of the Rev. Dr. Martin Luther King Jr. The biographies are full of facts and anecdotes...","http://www.nytimes.com/1988/06/01/us/education-fourth-graders-writing-biography-and-opening-a-door-to-history.html"
